amfi_code,Maximum_Drawdown,Worst_Date,Drawdown_Rank
120507,-0.1,2025-10-20,1.0
120844,-0.12,2024-04-30,2.0
101208,-0.16,2023-09-12,3.0
100025,-4.31,2023-07-28,4.0
119120,-4.33,2025-04-01,5.0
118636,-8.32,2024-02-09,6.0
102885,-10.86,2022-03-29,7.0
148567,-11.27,2023-10-20,8.0
101206,-11.29,2023-07-05,9.0
118635,-11.65,2022-06-09,10.0
119552,-11.8,2024-09-02,11.0
120504,-12.59,2023-05-30,12.0
120843,-12.97,2022-04-13,13.0
120503,-13.9,2023-11-09,14.0
119092,-14.4,2025-02-07,15.0
149322,-14.84,2022-02-04,16.0
119551,-15.01,2024-02-05,17.0
125497,-15.2,2025-01-01,18.0
148568,-15.27,2024-01-24,19.0
100033,-16.22,2022-05-12,20.0
148569,-16.4,2023-10-20,21.0
149323,-17.25,2022-10-24,22.0
118632,-17.41,2024-07-19,23.0
120841,-17.57,2025-02-14,24.0
120505,-18.19,2025-01-23,25.0
118633,-18.63,2024-02-29,26.0
120506,-19.83,2023-08-14,27.0
119094,-20.96,2022-08-11,28.0
125498,-21.12,2025-09-12,29.0
102887,-21.54,2022-07-04,30.0
119093,-21.75,2023-05-22,31.0
118634,-23.34,2026-02-20,32.0
120842,-24.0,2024-10-17,33.0
100016,-24.73,2022-09-15,34.0
102886,-28.0,2026-04-27,35.0
119598,-28.71,2025-05-14,36.0
149324,-31.17,2025-01-03,37.0
101207,-35.45,2026-05-11,38.0
119095,-51.68,2026-05-11,39.0
119599,-52.57,2025-10-28,40.0
